DATE,y_true,mu,sigma,lo50,hi50,lo90,hi90
1950-11-25,12.8,8.391764,2.8297057,6.483156,10.300371,3.7373118,13.046215
1950-11-26,13.3,5.175184,3.2540052,2.9803905,7.369977,-0.17717838,10.527546
1950-11-27,8.3,10.591792,3.1373641,8.475672,12.707912,5.4312873,15.752296
1950-11-28,11.1,10.234694,2.834199,8.323055,12.146332,5.572851,14.896536
1950-11-29,11.1,8.477339,2.8133063,6.5797925,10.374886,3.8498616,13.104816
1950-11-30,2.2,8.993767,2.7066426,7.1681643,10.819369,4.541736,13.445797
1950-12-03,1.1,8.9671755,2.7407072,7.1185966,10.815754,4.4591136,13.475237
1950-12-04,5.0,5.346878,3.1593268,3.2159445,7.477812,0.15024805,10.543509
1950-12-05,6.7,4.5598607,3.1122954,2.4606495,6.659072,-0.5594096,9.679131
1950-12-06,6.7,6.1774907,3.3465405,3.9202836,8.434698,0.67292166,11.68206
1950-12-07,9.4,6.4451056,3.1963446,4.2892036,8.601007,1.1875868,11.702624
1950-12-08,10.0,6.7819014,2.9286954,4.806526,8.757277,1.9646263,11.599176
1950-12-09,5.6,7.6995306,2.6738327,5.896058,9.503003,3.3014674,12.097593
1950-12-10,3.3,8.387955,2.9788432,6.3787556,10.397154,3.488194,13.287716
1950-12-11,3.3,6.3185167,2.9000952,4.3624325,8.274601,1.5482845,11.088749
1950-12-12,2.2,4.818704,3.2357008,2.6362572,7.001151,-0.50355005,10.140959
1950-12-13,-0.6,4.450873,3.1016843,2.3588185,6.5429273,-0.65094376,9.55269
1950-12-14,1.7,3.34198,3.2649748,1.1397879,5.5441723,-2.0284257,8.712385
1950-12-15,2.8,2.5893295,3.3227117,0.3481946,4.8304644,-2.876045,8.054704
1950-12-16,2.8,3.2879977,3.1366258,1.1723759,5.40362,-1.8712926,8.4472885
1950-12-17,3.3,3.4925036,3.1509235,1.367238,5.6177692,-1.6903043,8.675312
1950-12-18,5.6,3.535259,3.062074,1.4699216,5.6005964,-1.5014045,8.571922
1950-12-19,2.2,4.1432395,3.0218005,2.105066,6.1814127,-0.8271799,9.113659
1950-12-20,1.7,5.1124063,3.1885695,2.9617488,7.2630634,-0.13232374,10.357136
1950-12-21,2.2,2.7516437,3.1840718,0.6040199,4.899267,-2.4856882,7.9889755
1950-12-22,1.7,3.101525,3.2240896,0.9269097,5.27614,-2.2016304,8.40468
1950-12-23,2.8,3.2101383,3.2825372,0.99610066,5.424176,-2.1891546,8.609431
1950-12-24,2.2,2.729372,3.0268993,0.6877594,4.7709846,-2.249434,7.708178
1950-12-25,1.1,3.3933916,3.0470438,1.3381917,5.448591,-1.6185493,8.405333
1950-12-26,1.1,3.1135843,3.09061,1.0289996,5.1981688,-1.9700167,8.1971855
1950-12-27,0.6,2.4058368,3.2368836,0.22259212,4.589082,-2.9183629,7.7300367
1950-12-28,1.7,2.3564568,3.0862956,0.27478194,4.4381313,-2.7200475,7.432961
1950-12-29,4.4,2.0141463,3.1934407,-0.13979673,4.1680894,-3.238596,7.2668886
1950-12-30,2.2,2.4241226,3.3251855,0.181319,4.6669264,-3.0453207,7.893566
1950-12-31,1.7,3.8611193,3.3272395,1.6169305,6.105308,-1.6117024,9.3339405
1951-01-01,4.4,3.1975524,2.937551,1.2162044,5.1789007,-1.634289,8.029394
1951-01-02,8.9,4.602302,2.7706535,2.7335248,6.4710793,0.04498291,9.159621
